feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
ENOG410Y47H	0.8580962227790135	endpoint	0.0044899551004489	0.2673288182372413	100000	False
P_LP.3243	0.8601802943754174	baseline	0.0045099549004509	0.3856075392734445	100000	False
ENOG41122AM	0.8828357842462423	endpoint	0.0045099549004509	0.2673288182372413	100000	False
N_LP.562	0.8424023170431428	endpoint	0.0045099549004509	0.3856075392734445	100000	False
ENOG4111MSQ	0.8728546457004914	endpoint	0.0045199548004519	0.2673288182372413	100000	False
COG3520	0.8599117284991344	baseline	0.0045299547004529	0.2673288182372413	100000	False
PF00148	0.8569297118823052	endpoint	0.0045299547004529	0.2673288182372413	100000	False
ENOG4111G02	0.8610356038587231	endpoint	0.0045399546004539	0.2673288182372413	100000	False
ENOG4111P4Z	0.851145828681431	endpoint	0.0045699543004569	0.2673288182372413	100000	False
PF14187	0.870524266979383	baseline	0.0045699543004569	0.2673288182372413	100000	False
