Supplementary Table 1. Differential abundance analysis results across 5-month-old and 12-month-old groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Paired Wilcoxon rank sum test raw p-value	FDR 
K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]	"Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"	1.755271109	12-month-old	8.10486E-07	5.90492E-05
COG0804	Urea amidohydrolase (urease) alpha subunit	Amino acid transport and metabolism	1.788894329	12-month-old	8.10486E-07	5.90492E-05
ENOG410XQE2	abc transporter permease protein	Defense mechanisms	2.022442379	12-month-old	8.10486E-07	5.90492E-05
ENOG410XT7Q	"Transposase, IS605 OrfB family"	"Replication, recombination and repair"	2.56642966	12-month-old	8.10486E-07	5.90492E-05
ENOG410ZJYB		Function unknown	3.421061348	12-month-old	8.11172E-07	5.90492E-05
ENOG410Z78K		Function unknown	4.346325536	12-month-old	8.09381E-07	5.90492E-05
ENOG4111U74		Function unknown	3.360679724	12-month-old	8.15919E-07	5.91419E-05
ENOG410Y7HA		Function unknown	2.819947065	12-month-old	8.37398E-07	6.04417E-05
PF18693	[]		0.955777558	12-month-old	8.94561E-07	6.1564E-05
PF02417	[Chromate transporter]		1.009366696	12-month-old	9.39688E-07	6.1564E-05
ENOG410ZZE8		Function unknown	1.178481976	12-month-old	9.39688E-07	6.1564E-05
PF14195	[Domain of unknown function (DUF4316)]		1.359390878	12-month-old	8.94561E-07	6.1564E-05
ENOG410YDCP	Replication initiator protein A	Function unknown	1.436942955	12-month-old	9.39688E-07	6.1564E-05
ENOG410XPGY		Function unknown	1.611687275	12-month-old	8.94561E-07	6.1564E-05
ENOG410XQTE	Transcriptional regulator (AraC family)	Transcription	1.667300824	12-month-old	9.39688E-07	6.1564E-05
K19310	bacitracin transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	2.132411638	12-month-old	8.94561E-07	6.1564E-05
ENOG4111U7C	conserved protein	Function unknown	2.395757789	12-month-old	8.94561E-07	6.1564E-05
ENOG41123RQ		Function unknown	2.572750287	12-month-old	8.94561E-07	6.1564E-05
COG1152	CO dehydrogenase/acetyl-CoA synthase alpha subunit	Energy production and conversion	2.69880844	12-month-old	9.39688E-07	6.1564E-05
COG1614	CO dehydrogenase/acetyl-CoA synthase beta subunit	Energy production and conversion	2.69880844	12-month-old	9.39688E-07	6.1564E-05
ENOG4111X4V	rna polymerase	Transcription	2.716402551	12-month-old	9.38967E-07	6.1564E-05
PF12225	[Methylene-tetrahydrofolate reductase C terminal]		2.827183679	12-month-old	8.94561E-07	6.1564E-05
ENOG41129JG	"toxin-antitoxin system, antitoxin component, Xre"	Function unknown	2.920534666	12-month-old	9.39688E-07	6.1564E-05
ENOG410ZZJF		Function unknown	2.930415108	12-month-old	8.92534E-07	6.1564E-05
ENOG410ZZXB	"Two component transcriptional regulator, Winged helix family"	Signal transduction mechanisms	2.931302303	12-month-old	8.97875E-07	6.1564E-05
ENOG410YCVH		Function unknown	3.27185241	12-month-old	9.17905E-07	6.1564E-05
ENOG410XVXM	peptidase'	Function unknown	3.276799007	12-month-old	8.59394E-07	6.1564E-05
ENOG410YAF1		Function unknown	3.320876958	12-month-old	9.39688E-07	6.1564E-05
ENOG410YDF2		Function unknown	3.514428227	12-month-old	9.31931E-07	6.1564E-05
ENOG410Y2FJ		Function unknown	3.957169235	12-month-old	8.82081E-07	6.1564E-05
ENOG410ZXW8		Function unknown	4.022209744	12-month-old	9.2124E-07	6.1564E-05
COG5427	Uncharacterized membrane protein	Function unknown	4.237964078	12-month-old	8.74269E-07	6.1564E-05
ENOG4111U16	Transcriptional regulator	Transcription	2.230583115	12-month-old	9.87003E-07	6.41702E-05
PF19538	[]		2.763128354	12-month-old	9.87003E-07	6.41702E-05
ENOG410YI7H		Function unknown	3.347792094	12-month-old	1.01384E-06	6.56646E-05
ENOG410YFA8	Cell envelope-related transcriptional attenuator domain	Transcription	3.162008204	12-month-old	1.02257E-06	6.57303E-05
ENOG4111NTE		Function unknown	3.179467987	12-month-old	1.02245E-06	6.57303E-05
ENOG411225J		Function unknown	2.0657252	12-month-old	1.03661E-06	6.62801E-05
ENOG410XQD1		Function unknown	2.216855739	12-month-old	1.03891E-06	6.62801E-05
ENOG4111FRY		Function unknown	2.043685122	12-month-old	1.0886E-06	6.81738E-05
ENOG4111J4C		Function unknown	2.741332407	12-month-old	1.0886E-06	6.81738E-05
ENOG410XRRU	"Toxin-antitoxin system, toxin component"	Function unknown	2.958066929	12-month-old	1.0886E-06	6.81738E-05
COG5577	Spore coat protein	"Cell envelope biogenesis, outer membrane"	3.745356335	12-month-old	1.07718E-06	6.81738E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Anaerostipes.s_Anaerostipes.hadrus	NA	NA	4.408353305	12-month-old	1.0886E-06	6.81738E-05
K00394	"adenylylsulfate reductase, subunit A [EC:1.8.99.2]"	Metabolism; Energy metabolism; Sulfur metabolism	3.734277032	12-month-old	1.09264E-06	6.81762E-05
ENOG410ZY7A		Function unknown	3.536496075	12-month-old	1.10303E-06	6.85733E-05
ENOG4111X7D		Function unknown	4.382820553	12-month-old	1.13459E-06	7.02789E-05
PF12395	[Protein of unknown function ]		2.273983712	12-month-old	1.14311E-06	7.05496E-05
ENOG4111YWK		Function unknown	3.093918862	12-month-old	1.1508E-06	7.07682E-05
ENOG4111VYM		Function unknown	3.364550307	12-month-old	1.15958E-06	7.10511E-05
PF01554	[MatE]		0.446489677	12-month-old	1.20023E-06	7.19886E-05
K06392	stage III sporulation protein AC	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	1.369040415	12-month-old	1.20023E-06	7.19886E-05
PF04647	[Accessory gene regulator B]		1.370959892	12-month-old	1.20023E-06	7.19886E-05
PF13306	[Leucine rich repeats (6 copies)]		1.415701484	12-month-old	1.20023E-06	7.19886E-05
PF12730	[ABC-2 family transporter protein]		1.512475955	12-month-old	1.20023E-06	7.19886E-05
ENOG4111KQP	Transposase	"Replication, recombination and repair"	3.264424217	12-month-old	1.20023E-06	7.19886E-05
COG1115	Na+/alanine symporter	Amino acid transport and metabolism	0.755789999	12-month-old	1.2601E-06	7.22711E-05
K18682	ribonucrease Y [EC:3.1.-.-]	"Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis"	0.810210677	12-month-old	1.2601E-06	7.22711E-05
PF00209	[Sodium:neurotransmitter symporter family]		0.994874845	12-month-old	1.2601E-06	7.22711E-05
PF13303	"[Phosphotransferase system, EIIC]"		1.316955226	12-month-old	1.2601E-06	7.22711E-05
ENOG410XQ4X	AAA-ATPase	Function unknown	1.448992125	12-month-old	1.2601E-06	7.22711E-05
ENOG411239D	(NlpC P60 family) protein	Function unknown	2.220324953	12-month-old	1.2601E-06	7.22711E-05
ENOG4111VZN		Function unknown	2.268216586	12-month-old	1.2601E-06	7.22711E-05
ENOG41123Q6	"acetyltransferase, (GT) family"	Function unknown	2.390730778	12-month-old	1.2601E-06	7.22711E-05
ENOG4111KQ4		Function unknown	2.698617721	12-month-old	1.2601E-06	7.22711E-05
ENOG4111SJR		Function unknown	2.880659006	12-month-old	1.22272E-06	7.22711E-05
ENOG4111KFQ		Function unknown	3.486837002	12-month-old	1.25838E-06	7.22711E-05
ENOG4111XFE	"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)"	Energy production and conversion	3.837932625	12-month-old	1.24654E-06	7.22711E-05
ENOG410YE9Q		Function unknown	3.897483548	12-month-old	1.25838E-06	7.22711E-05
ENOG410XPM6	Plasmid recombination enzyme	Function unknown	1.972291592	12-month-old	1.32283E-06	7.47159E-05
K15212	TATA box-binding protein-associated factor RNA polymerase I subunit A	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	2.29345378	12-month-old	1.31618E-06	7.47159E-05
ENOG4111GE3		Function unknown	2.386439848	12-month-old	1.32283E-06	7.47159E-05
ENOG4111HX4		Function unknown	2.802962807	12-month-old	1.32283E-06	7.47159E-05
ENOG410ZKJY		Function unknown	3.644846297	12-month-old	1.32466E-06	7.47159E-05
K00194	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism	2.86171109	12-month-old	1.33558E-06	7.48363E-05
ENOG410Y5N3		Function unknown	3.382681517	12-month-old	1.33558E-06	7.48363E-05
K04043	molecular chaperone DnaK	"Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Organismal Systems; Aging; Longevity regulating pathway - worm | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"	0.358313164	12-month-old	1.38856E-06	7.5568E-05
COG1234	Metal-dependent hydrolases of the beta-lactamase superfamily III	General function prediction only	0.82718519	12-month-old	1.38856E-06	7.5568E-05
K03308	"neurotransmitter:Na+ symporter, NSS family"	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport	1.141611002	12-month-old	1.38856E-06	7.5568E-05
ENOG410XUTM	"Addiction module antitoxin, RelB DinJ family"	Function unknown	1.424425751	12-month-old	1.38856E-06	7.5568E-05
ENOG411224P		Function unknown	1.439081504	12-month-old	1.38856E-06	7.5568E-05
PF14194	[Cysteine-rich VLP]		1.581091843	12-month-old	1.38856E-06	7.5568E-05
ENOG4111R4E	"D binding domain, excisionase family"	"Replication, recombination and repair"	1.697765997	12-month-old	1.38856E-06	7.5568E-05
ENOG4111XIQ	D-binding helix-turn-helix protein	Transcription	2.329313918	12-month-old	1.38856E-06	7.5568E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Blautia.s_Blautia.caecimuris	NA	NA	3.706487823	12-month-old	1.38856E-06	7.5568E-05
ENOG4111UIX		Function unknown	4.13888458	12-month-old	1.39509E-06	7.56815E-05
PF04468	[PSP1 C-terminal conserved region]		0.768871796	12-month-old	1.45743E-06	7.56885E-05
COG0733	Na+-dependent transporters of the SNF family	General function prediction only	0.999035608	12-month-old	1.45743E-06	7.56885E-05
K01677	fumarate hydratase subunit alpha [EC:4.2.1.2]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes	1.027037548	12-month-old	1.45743E-06	7.56885E-05
ENOG41121S9		Function unknown	1.138666824	12-month-old	1.45743E-06	7.56885E-05
PF09586	[Bacterial membrane protein YfhO]		1.171926027	12-month-old	1.45743E-06	7.56885E-05
ENOG4111PUW		Function unknown	1.610245206	12-month-old	1.45743E-06	7.56885E-05
ENOG410ZQJ3		Function unknown	1.622655664	12-month-old	1.45743E-06	7.56885E-05
K04070	putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.678762213	12-month-old	1.45743E-06	7.56885E-05
ENOG4111QKP		Function unknown	1.888783511	12-month-old	1.45743E-06	7.56885E-05
ENOG4111VWJ		Function unknown	2.095029549	12-month-old	1.45743E-06	7.56885E-05
ENOG4111FVX		Function unknown	2.116527967	12-month-old	1.45743E-06	7.56885E-05
COG4512	Membrane protein putatively involved in post-translational modification of the autoinducing quorum-sensing peptide	"Transcription|Signal transduction mechanisms|Posttranslational modification, protein turnover, chaperones"	2.552327813	12-month-old	1.45743E-06	7.56885E-05
PF12654	[Domain of unknown function (DUF3786)]		2.875595958	12-month-old	1.40399E-06	7.56885E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Anaerobutyricum.s_Anaerobutyricum.hallii	NA	NA	3.795543152	12-month-old	1.45743E-06	7.56885E-05
ENOG410XPGH	methyl-accepting chemotaxis protein	Function unknown	3.975740128	12-month-old	1.48005E-06	7.66297E-05
K01678	fumarate hydratase subunit beta [EC:4.2.1.2]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes	0.963835185	12-month-old	1.52957E-06	7.73789E-05
K07240	chromate transporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.134115919	12-month-old	1.52957E-06	7.73789E-05
PF16188	[C-terminal region of peptidase_M24]		1.142869899	12-month-old	1.52957E-06	7.73789E-05
COG2088	"Uncharacterized protein, involved in the regulation of septum location"	"Cell envelope biogenesis, outer membrane"	1.199386418	12-month-old	1.52957E-06	7.73789E-05
ENOG4111I91		Function unknown	1.334858346	12-month-old	1.52957E-06	7.73789E-05
K02103	"GntR family transcriptional regulator, arabinose operon transcriptional repressor"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	1.914759758	12-month-old	1.52957E-06	7.73789E-05
COG0798	Arsenite efflux pump ACR3 and related permeases	Inorganic ion transport and metabolism	2.641497595	12-month-old	1.52957E-06	7.73789E-05
ENOG410Z0IW		Function unknown	3.376751759	12-month-old	1.53086E-06	7.73789E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Neobittarella.s_Neobittarella.massiliensis	NA	NA	2.420368514	12-month-old	1.53637E-06	7.74276E-05
PF10060	[Uncharacterized membrane protein (DUF2298)]		4.250106802	12-month-old	1.55105E-06	7.79369E-05
ENOG410YF9W		Function unknown	3.468246867	12-month-old	1.56866E-06	7.85898E-05
ENOG410ZBKA		Function unknown	2.455275881	12-month-old	1.60514E-06	7.99474E-05
K15023	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes	2.59373472	12-month-old	1.60514E-06	7.99474E-05
PF13271	[Domain of unknown function (DUF4062)]		3.212374921	12-month-old	1.61672E-06	8.0056E-05
PF19753	[]		4.210126486	12-month-old	1.61672E-06	8.0056E-05
K06310	spore germination protein	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	3.040473326	12-month-old	1.62728E-06	8.0345E-05
COG3619	Predicted membrane protein	Function unknown	1.111152142	12-month-old	1.6843E-06	8.22072E-05
ENOG4111G18		Function unknown	2.594082949	12-month-old	1.6843E-06	8.22072E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Pseudoflavonifractor.s_Pseudoflavonifractor.sp.	NA	NA	2.872300323	12-month-old	1.68094E-06	8.22072E-05
ENOG410ZVQI		Function unknown	3.826409374	12-month-old	1.67695E-06	8.22072E-05
COG1696	Predicted membrane protein involved in D-alanine export	"Cell envelope biogenesis, outer membrane"	0.896639813	12-month-old	1.76719E-06	8.4306E-05
ENOG410XPC1	conjugative transposon membrane protein	Function unknown	1.173852481	12-month-old	1.76719E-06	8.4306E-05
PF09820	[Predicted AAA-ATPase]		1.407320358	12-month-old	1.76719E-06	8.4306E-05
PF01345	[Domain of unknown function DUF11]		2.22467341	12-month-old	1.76719E-06	8.4306E-05
ENOG41120Q3		Function unknown	2.597827058	12-month-old	1.76719E-06	8.4306E-05
K00197	acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism	2.627159876	12-month-old	1.76719E-06	8.4306E-05
ENOG410XXX9		Function unknown	2.928256554	12-month-old	1.77184E-06	8.4306E-05
ENOG411261G		Function unknown	3.639490753	12-month-old	1.75656E-06	8.4306E-05
ENOG410YJMH		Function unknown	3.882276449	12-month-old	1.73876E-06	8.4306E-05
ENOG410Z0D2		Function unknown	2.914069867	12-month-old	1.79974E-06	8.51861E-05
ENOG410YBY0		Function unknown	3.555942004	12-month-old	1.80034E-06	8.51861E-05
ENOG410Y2Y3		Function unknown	2.956909774	12-month-old	1.83087E-06	8.61522E-05
ENOG410XV06		Function unknown	3.383282368	12-month-old	1.83087E-06	8.61522E-05
ENOG410XPA5		Function unknown	1.539561593	12-month-old	1.854E-06	8.67613E-05
ENOG410XYZ9		Function unknown	2.920438663	12-month-old	1.854E-06	8.67613E-05
ENOG4111JWE		Function unknown	3.737842231	12-month-old	1.86746E-06	8.71515E-05
K16698	teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases	2.836988369	12-month-old	1.89637E-06	8.78974E-05
ENOG4111TVG	PbH1	Function unknown	3.455609307	12-month-old	1.90408E-06	8.78974E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Eisenbergiella.s_Eisenbergiella.massiliensis	NA	NA	3.591444878	12-month-old	1.90299E-06	8.78974E-05
ENOG4111VB3	Acyltransferase family	Function unknown	3.972436703	12-month-old	1.90299E-06	8.78974E-05
COG3760	Uncharacterized conserved protein	Function unknown	1.297681425	12-month-old	1.9449E-06	8.88191E-05
PF18840	[]		2.09000271	12-month-old	1.9449E-06	8.88191E-05
PF00112	[Papain family cysteine protease]		2.239800673	12-month-old	1.9449E-06	8.88191E-05
ENOG410XWHE	D binding domain	"Replication, recombination and repair"	3.080302365	12-month-old	1.96802E-06	8.91578E-05
ENOG410YNMS		Function unknown	3.25993319	12-month-old	1.96802E-06	8.91578E-05
COG3347	Uncharacterized conserved protein	Function unknown	3.778020023	12-month-old	1.96802E-06	8.91578E-05
PF18796	[]		2.367980296	12-month-old	1.99521E-06	9.01497E-05
ENOG410Z1MP		Function unknown	3.327832621	12-month-old	2.01355E-06	9.07377E-05
ENOG410XRX3	Baat aCyl-coa thioester hydrolase	Function unknown	3.507365336	12-month-old	2.01919E-06	9.07518E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Agathobaculum.s_Unclassified.Agathobaculum	NA	NA	3.542836273	12-month-old	2.04008E-06	9.14492E-05
COG0073	EMAP domain	General function prediction only	0.224751666	12-month-old	2.13972E-06	9.32172E-05
K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Brite Hierarchies; Protein families: metabolism; Peptidases	0.265950465	12-month-old	2.13972E-06	9.32172E-05
COG1774	Uncharacterized homolog of PSP1	Function unknown	0.714336145	12-month-old	2.13972E-06	9.32172E-05
K21903	"ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	1.000154597	12-month-old	2.13972E-06	9.32172E-05
ENOG4111U1N	"D binding domain, excisionase family"	"Replication, recombination and repair"	1.958186501	12-month-old	2.13972E-06	9.32172E-05
COG2358	"TRAP-type uncharacterized transport system, periplasmic component"	General function prediction only	2.625522689	12-month-old	2.13972E-06	9.32172E-05
ENOG410XRI8		Function unknown	3.078006727	12-month-old	2.12906E-06	9.32172E-05
ENOG4111UX1		Function unknown	3.224626849	12-month-old	2.08651E-06	9.32172E-05
ENOG41101IZ		Signal transduction mechanisms	3.559366087	12-month-old	2.09899E-06	9.32172E-05
ENOG4111R0C		Function unknown	3.623282595	12-month-old	2.10827E-06	9.32172E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Lachnospira.s_Unclassified.Lachnospira	NA	NA	4.000574487	12-month-old	2.12024E-06	9.32172E-05
ENOG410Y47H		Function unknown	2.183092701	12-month-old	2.19082E-06	9.52002E-05
COG4492	ACT domain-containing protein	General function prediction only	1.20226323	12-month-old	2.24402E-06	9.70169E-05
ENOG410ZWTD	"Efflux transporter rnd family, mfp subunit"	Function unknown	3.560430012	12-month-old	2.24402E-06	9.70169E-05
ENOG410ZRD3		Function unknown	3.27944803	12-month-old	2.25091E-06	9.70684E-05
k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae.g_Unclassified.Sutterellaceae.s_Unclassified.Sutterellaceae	NA	NA	3.483650834	12-month-old	2.30551E-06	9.91717E-05
